"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","10.784","1","6","1.956","0","1.207","0","0.971","0","5","4","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","20.406","1","2","1.639","0","1.176","0","1.116","0","7","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","27.785","1","6","1.04","0","1.089","0","0","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","39.762","1","1","1.378","0","1.021","0","3.918","0","4","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","48.339","1","4","1.255","0","1.325","0","0.667","0","4","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","58.071","1","1","1.191","0","1.132","0","1.133","0","4","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","66.299","1","6","1.176","0","1.192","0","0.411","0","6","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","74.006","1","5","0.963","0","1.093","0","0.216","0","3","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","84.52","1","3","3.11","0","1.105","0","0.849","0","7","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","92.901","1","2","1.602","0","1.216","0","0.248","0","2","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","101.172","1","4","1.579","0","1.251","0","0.321","0","8","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","110.23","1","3","1.436","0","1.384","0","0.773","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","118.012","1","6","0.91","0","1.068","0","0","0","4","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","126.621","1","1","0.785","0","1.135","0","0.834","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","136.908","1","4","2.423","0","1.297","0","1.492","0","7","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","145.89","1","6","1.542","0","0.962","0","0.817","0","4","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","154.122","1","5","0.92","0","1.24","0","0.727","0","6","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","162.251","1","1","0.741","0","1.118","0","0.775","0","3","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","178.635","0","5","1.134","0","1.083","0","0","0","6","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","187.236","1","5","1.66","0","1.042","0","0.004","0","5","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","212.235","0","3","0.783","0","1.24","0","8.182","0","8","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","230.63","0","3","1.295","0","1.23","0","0","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","238.751","1","1","1.069","0","1.104","0","0.62","0","4","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","247.689","1","2","1.653","0","1.036","0","0.67","0","6","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","255.115","1","4","1.169","0","1.053","0","0","0","9","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","274.128","0","3","1.065","0","1.277","0","0.577","0","12","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","288.556","1","2","1.385","0","1.071","0","5.948","0","3","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","298.449","1","5","2.742","0","1.188","0","0.425","0","5","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","306.373","1","2","1.375","0","1.331","0","0.257","0","5","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","314.26","1","4","1.437","0","1.379","0","0","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","321.535","1","2","0.894","0","1.099","0","0","0","3","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","330.293","1","5","1.241","0","1.159","0","0.79","0","4","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","338.356","1","3","1.335","0","1.315","0","0.185","0","5","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","346.08","1","4","1.11","0","1.08","0","0","0","8","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","353.367","1","1","0.863","0","1.493","0","0","0","2","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","360.446","1","1","0.836","0","1.24","0","0","0","2","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","368.406","1","5","0.74","0","1.279","0","0.708","0","3","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","376.311","1","1","0.764","0","1.248","0","0.579","0","3","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","385.007","1","3","1.863","0","1.06","0","0","0","4","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","393.042","1","1","0.814","0","1.154","0","0.351","0","2","4","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","413.807","0","5","2.428","0","0.999","0","2.496","0","10","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","421.678","1","2","0.834","0","1.03","0","0","0","6","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","438.715","0","4","1.009","0","1.302","0","0.457","0","7","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","455.004","0","3","1.049","0","1.197","0","0","0","5","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","463.969","1","2","0.999","0","1.15","0","0.549","0","2","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","482.494","0","3","2.151","0","0.949","0","0.713","0","6","3","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","491.363","1","2","1.203","0","1.243","0","0.841","0","3","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","499.863","1","5","2.07","0","1.557","0","0","0","7","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","507.418","1","6","1.354","0","1.34","0","0","0","5","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","515.724","1","6","1.534","0","1.147","0","0.561","0","5","2","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","524.163","1","4","1.395","0","1.134","0","0.501","0","6","1","0"
"Cristina2","1/31/2023 1:27:15 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","414","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","2023-01-31T13:27:15.816","535.8","1","2","0.873","0","1.729","0","3.951","0","6","2","0"
