"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","23.439","1","4","11.804","0","2.259","0","0.644","0","5","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","52.297","1","2","21.176","0","1.922","0","0.745","0","5","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","65.417","1","5","5.552","0","1.646","0","0.742","0","1","2","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","74.77","1","5","1.934","0","1.423","0","0.846","0","1","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","83.936","1","6","2.091","0","1.778","0","0.266","0","1","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","97.731","1","4","2.062","0","1.985","0","4.687","0","1","3","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","107.085","1","4","2.923","0","1.272","0","0.008","0","1","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","118.676","1","3","4.635","0","1.935","0","0","0","3","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","128.165","1","2","1.937","0","1.599","0","0.683","0","2","2","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","137.779","1","2","1.668","0","1.841","0","0.895","0","5","2","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","146.94","1","3","2.272","0","1.881","0","0","0","3","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","158.461","1","3","4.556","0","1.459","0","0","0","1","1","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","176.264","0","3","2.298","0","1.574","0","0","0","5","4","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","193.946","0","4","2.18","0","1.444","0","0.382","0","4","0","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","207.807","1","2","5.16","0","1.5","0","2.112","0","7","2","0"
"Cristina2","10/31/2023 2:47:16 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1139","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-10-31T14:47:16.830","216.908","1","1","2.364","0","1.186","0","0.142","0","3","1","0"
