"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","111.175","1","2","96.512","0","2.403","0","3.102","0","17","9","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","126.651","1","3","6.375","0","1.481","0","2.469","0","2","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","148.145","0","6","5.769","0","1.33","0","0.424","0","3","2","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","158.799","1","6","3.228","0","1.524","0","0.511","0","1","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","169.354","1","3","3.18","0","1.149","0","0.415","0","1","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","182.969","1","6","6.754","0","1.457","0","0.381","0","2","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","192.044","1","4","2.022","0","1.227","0","0.354","0","2","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","201.945","1","3","2.298","0","1.336","0","1.255","0","2","2","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","210.989","1","4","2.023","0","1.475","0","0.61","0","3","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","219.875","1","1","1.685","0","0.948","0","0.65","0","2","2","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","228.904","1","5","1.9","0","1.298","0","0.999","0","2","2","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","237.574","1","1","1.703","0","1.158","0","0.624","0","4","1","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","249.644","1","3","2.486","0","1.389","0","1.73","0","3","3","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","260.677","1","4","2.402","0","1.405","0","2.106","0","2","2","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","273.575","1","2","3.093","0","1.37","0","3.339","0","5","3","0"
"Cristina2","11/2/2023 2:09:36 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","1156","N/A","Rat dPAL_2021 vN/A","1778","ABET II Touch 22.03.22.0","100","3600","2023-11-02T14:09:36.191","292.427","1","4","6.442","0","1.6","0","6.009","0","6","2","0"
