"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","32.899","0","4","13.344","0","1.207","0","1.332","0","6","2","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","49.452","1","2","8.934","0","1.472","0","0.917","0","2","4","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","64.331","1","1","5.548","0","1.344","0","2.664","0","4","3","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","84.01","0","3","2.812","0","1.427","0","1.627","0","3","2","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","101.843","0","3","1.956","0","1.311","0","0.531","0","5","3","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","127.537","0","2","6.427","0","1.331","0","0.381","0","5","2","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","145.958","0","2","2.982","0","1.039","0","0.424","0","5","3","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","155.426","1","5","1.507","0","1.368","0","1.123","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","163.736","1","1","1.709","0","1.153","0","0","0","2","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","172.223","1","5","1.565","0","1.215","0","0.385","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","183.392","1","6","1.832","0","1.15","0","2.706","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","192.673","1","2","2.424","0","1.232","0","0.053","0","2","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","201.012","1","5","1.857","0","1.279","0","0","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","218.05","0","4","1.474","0","1.23","0","0.309","0","3","0","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","237.636","1","4","2.343","0","1.187","0","10.82","0","1","2","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","245.628","1","2","1.483","0","1.123","0","0","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","261.946","1","6","2.165","0","0.973","0","7.718","0","2","3","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","269.938","1","1","1.54","0","1.435","0","0","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","277.927","1","6","1.511","0","1.266","0","0.034","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","286.61","1","5","2.114","0","1.355","0","0","0","3","1","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","306.315","0","3","1.622","0","1.011","0","2.783","0","4","3","0"
"Cristina2","11/16/2023 2:55:51 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1206","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-16T14:55:51.770","325.549","0","5","2.333","0","1.182","0","1.241","0","10","2","0"
