"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Notes","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","32.976","0","1","17.512","0","1.633","0","0.446","0","2","3","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","51.181","1","5","10.036","0","2.76","0","0.846","0","2","1","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","67.229","1","3","7.874","0","1.637","0","0.129","0","2","1","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","90.547","0","4","6.403","0","1.995","0","1.87","0","2","3","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","104.649","1","6","3.909","0","2.255","0","3.451","0","3","2","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","126.754","0","3","6.573","0","2.075","0","0.187","0","2","2","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","149.888","1","1","15.397","0","1.699","0","0.592","0","3","2","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","164.025","1","6","6.106","0","2.521","0","0.611","0","4","1","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","194.927","0","1","14.799","0","1.731","0","0.863","0","7","2","0"
"Cristina2","2/4/2023 2:53:11 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","425","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","mec day 2","2023-02-04T14:53:12.091","222.595","1","2","18.755","0","2.036","0","0.098","0","5","1","0"
