"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","53.961","1","6","12.54","0","9.408","0","23.743","0","7","5","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","72.926","1","1","9.168","0","1.644","0","2.928","0","3","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","105.929","1","1","7.858","0","9.126","0","10.734","0","11","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","126.142","1","1","8.443","0","1.084","0","5.386","0","2","3","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","135.485","1","5","2.091","0","1.605","0","0.363","0","2","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","151.735","1","5","3.902","0","1.068","0","5.995","0","7","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","160.994","1","5","1.865","0","1.131","0","0.918","0","2","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","169.237","1","3","2.082","0","1.138","0","0","0","1","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","184.999","1","6","2.019","0","1.16","0","7.373","0","5","3","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","210.861","0","3","6.432","0","1.011","0","4.354","0","8","6","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","221.633","1","1","3.363","0","0.996","0","1.337","0","1","2","0"
"Cristina3","2/20/2024 12:15:18 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","85","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-20T12:15:18.615","231.301","1","3","1.554","0","1.086","0","2.088","0","1","2","0"
