"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Notes","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","201.291","1","1","175.347","0","12.567","0","0","0","3","2","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","232.393","1","1","21.053","0","2.46","0","0","0","3","2","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","384.585","1","2","144.263","0","2.293","0","0","0","9","8","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","597.43","1","3","200.554","0","1.883","0","0","0","21","22","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","1542.797","1","2","928.418","0","9.649","0","0","0","78","70","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2192.422","0","5","625.492","0","2.179","0","0","0","25","19","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2270.688","0","4","61.507","0","2.353","0","0.876","0","15","9","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2332.858","1","2","48.01","0","1.834","0","6.516","0","8","8","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2590.544","1","1","245.816","0","1.292","0","0","0","19","23","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2695.22","0","4","77.521","0","1.882","0","0","0","12","7","0"
"Cristina2","2/10/2023 1:49:07 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","439","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-10T13:49:07.369","2746.672","1","3","44.516","0","","","0","0","11","6","0"
