"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","25.013","0","5","5.952","0","1.025","0","0.208","0","7","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","43.904","0","6","2.745","0","1.014","0","0.682","0","8","3","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","54.047","1","2","1.39","0","1.212","0","2.293","0","4","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","71.884","0","5","1.428","0","1.189","0","1.334","0","12","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","80.753","1","4","1.475","0","1.171","0","1.095","0","5","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","97.306","0","5","1.141","0","0.984","0","0.262","0","3","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","105.989","1","1","1.905","0","0.981","0","0.446","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","113.788","1","6","1.346","0","1.009","0","0.189","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","121.797","1","2","1.349","0","0.996","0","0.399","0","1","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","130.543","1","4","1.746","0","0.995","0","0.851","0","1","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","146.713","0","3","1.146","0","0.902","0","0","0","11","0","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","165.23","0","1","2.268","0","0.979","0","0.949","0","7","4","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","173.102","1","6","1.389","0","1.01","0","0.202","0","1","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","199.775","0","1","1.783","0","1.099","0","9.665","0","2","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","217.043","0","6","1.762","0","1.084","0","0.324","0","7","3","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","236.228","1","4","2.094","0","1.616","0","10.84","0","4","3","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","245.045","1","5","1.356","0","0.985","0","1.389","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","252.47","1","2","1.149","0","1.086","0","0.204","0","1","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","261.002","1","3","1.811","0","0.886","0","0.773","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","268.575","1","4","1.375","0","0.922","0","0.143","0","4","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","276.492","1","2","1.643","0","1.092","0","0.187","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","284.244","1","2","1.404","0","1.054","0","0.143","0","5","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","291.846","1","4","1.33","0","1.055","0","0.022","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","299.868","1","1","1.323","0","0.907","0","0.053","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","316.656","0","6","1.703","0","1.137","0","0.04","0","9","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","325.778","1","3","2.357","0","1.05","0","0.645","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","333.246","1","1","1.223","0","1.12","0","0.054","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","350.422","0","3","1.851","0","1.026","0","0.28","0","5","3","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","357.877","1","5","1.243","0","1.016","0","0.101","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","365.854","1","3","1.55","0","1.063","0","0.46","0","3","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","373.354","1","6","1.233","0","1.073","0","0.084","0","4","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","381.028","1","5","1.57","0","1.281","0","0.005","0","6","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","400.272","0","4","1.833","0","1.181","0","2.126","0","6","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","408.255","1","2","1.52","0","1.176","0","0.213","0","6","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","416.038","1","4","1.552","0","1.033","0","0.264","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","423.864","1","3","1.443","0","0.941","0","0.141","0","1","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","440.538","0","6","1.364","0","1.002","0","0.22","0","4","0","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","455.223","1","5","1.65","0","1.164","0","6.76","0","5","2","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","464.552","1","2","2.375","0","0.889","0","0.804","0","5","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","472.08","1","2","1.178","0","1.055","0","0.234","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","479.669","1","4","1.503","0","0.75","0","0.04","0","4","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","487.241","1","2","1.485","0","1.026","0","0","0","2","1","0"
"Cristina2","10/24/2023 10:27:13 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1109","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-10-24T10:27:13.728","495.142","1","4","1.595","0","1.306","0","0.143","0","6","1","0"
